ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-11939.3517525,-147.696890147,781.035319554,-2078.61076916,860.313915326,-699.450140151,1043.0961357,-569.327886084,347.240160117,489.247945599,52.962058276,-84.7282706365,-21.7942565175,134.000765258,1.4843189375,82.857261634,47.9035888155,22.4345122542,-0.0937752502,1.6726351445,129493,3
1,-7430.86858459,-3935.5719146,1930.95093779,423.652793759,271.760506488,-1019.70020216,-230.155797468,-531.63597773,-575.127881702,231.435341884,-157.827598605,-89.2670693153,-63.5002464176,-3.4030076932,42.5431808677,21.7264249387,26.066345321,-31.0034061124,-26.496337232,1.0750727541,111507761,5
2,-12886.8705323,1812.48568367,1400.90190504,-3111.46793209,1357.12004701,-573.175965389,1144.77850201,-140.351147465,249.126378939,192.815980591,239.622887343,-122.093777847,-154.052976139,-38.5802181902,116.915595384,121.8208163,-4.4686066651,20.9828940246,-6.4340909577,6.9123808679,13028492,5
3,-11891.3389984,2075.0309838,1348.68713109,-4513.00194961,-356.068356966,-1046.13536681,781.292860563,-15.434371562,-282.149418602,-226.416366814,357.303374753,-183.32995269,-92.3634449509,100.74623399,36.9853978776,141.374770211,5.5845759346,29.2145788309,-27.1826604523,33.1713859222,294063,3
4,-11921.3086074,4016.01365296,1398.91807921,1032.58461089,4631.18756171,3930.78270952,3572.35192023,648.254692258,320.627424334,85.3579770013,477.779072165,-192.334347265,75.5947944156,112.836339711,234.361773337,124.747730371,-41.3709394592,21.9931959839,30.8985082071,51.8266537883,2715515,4
5,-9052.57609121,-733.43783717,1736.38246839,-2111.14519176,143.591586341,-1578.60672956,1175.50667738,574.414292964,-85.7198629241,-382.441181014,345.343424445,-342.43022713,371.834807044,-79.84307689,-250.714930338,-41.319279383,-22.9509319322,-17.4378495703,-33.8553479824,-4.5638622847,91328466,5
6,-13788.288681,-3176.1189939,845.18965576,-2140.12621059,852.241991313,-1989.77283567,1853.49595659,-225.577615588,-597.987334246,-7.0582871344,156.55157297,-110.243912145,-38.2692892108,72.7815071718,134.135458005,43.2400641679,-39.0198123239,7.2634551536,-23.7149973922,1.4488439556,477165,4
7,4579.48190984,-122.88277374,-951.510149461,-892.481806225,-842.185244697,-649.417285345,1719.75423555,-157.644927524,3.8469584028,307.151490211,141.576926337,-98.5337050667,-130.349633152,69.7439259481,94.6259671473,-0.5068297015,52.8114781847,-30.9287572803,-59.9199455583,-9.1151543146,624746,4
8,9619.05116043,2050.48145158,-6145.96267588,-3438.06984661,632.390025194,-1130.32513805,2354.82182756,-110.504916701,-485.510633863,38.0960813134,322.644066469,-84.3163233014,-54.3524092956,16.6756487812,23.7817093878,-7.3994377283,-5.5326953568,46.7235897902,-44.9576797686,-15.9782349493,441772,4
9,-10455.8649012,-1363.41051872,696.660401825,-940.622554823,-91.4199211737,-1064.39289339,-518.980846236,239.740613638,-316.930018858,133.615451679,-22.8446599558,-164.678085878,81.896135446,44.453867177,56.0321428014,-46.5963437251,16.1957252069,10.0993063577,7.7588301793,-30.0953096786,20599,2
10,522.649094823,-5031.12378486,746.385663254,1645.4744089,-1044.0562985,-420.250091966,129.299407429,397.795296928,15.0277494239,-141.996143853,-39.4020573843,-174.807791851,-60.6638067624,13.5714386514,-34.4964220298,72.5359584261,-19.7412413925,17.5171370128,-21.0495794076,-5.2039627151,4159775,5
11,-8288.66837231,-4247.64377098,850.157586537,-436.334972203,-410.334211324,-1340.09786155,1512.19701852,-150.421303956,-584.241804515,-94.9740208436,53.6649100919,-124.977821785,-28.4090082179,79.5217534942,119.418315992,-22.2386720797,-21.9742258167,25.5496169466,-1.7871773521,1.4534365394,6290874,5
