ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-11846.0680617,-212.236597684,1207.13403917,-2076.86730315,1033.83202753,-700.079508734,1024.03986963,-540.23030661,317.278280054,478.848183593,-102.244845695,18.3937188275,66.2008146132,82.4962704975,70.7138528062,60.2674690195,25.6885108343,5.9065059035,-2.6142770802,-4.463697436,129493,3,-2.0155353222,-5.7741764637,-8.782861045,-0.2623660493,-2.3088138764,1.5883030892,-2.4999643755,2.8691932882,-4.0942870095,2.7865315351,-0.2809506046,-1.1340681397,-0.7211271998,0.430751022,-0.1288358331,-0.0471217341,1.1283338609,2.3040054168,1.1352866309,0.6632119292,1.4247671205,-0.4482382951,0.3732971104,-0.0697339077,-0.4112346215,-0.0975159293,-0.3541835998,-0.1173376866
1,-7268.97545184,-3899.25764995,2113.64280692,525.968102161,482.493138198,-910.069481421,-338.676732496,-501.269919238,-602.31661963,243.740666279,113.42462311,-39.8945966259,28.390294227,-42.7388610535,31.0523248072,33.5523655575,-32.6004091318,-15.2394245522,-10.6118220608,-31.6469438303,111507761,5,3.7616216464,-6.8317563283,3.6900523385,-7.0346569295,-0.3413552141,1.5376176966,0.4197289919,2.3843795209,-5.6048117948,1.9603318624,-0.1495763063,0.9467774488,0.2264828418,-0.2767318311,-1.2359361786,0.5587725254,0.4804426662,0.4052540169,-1.1735641971,-0.1424818161,1.2718083141,0.5368783174,0.3643017601,-0.5014914794,0.033395303,0.0836128704,-0.2128964814,-0.2071681172
2,-12809.8081728,1708.71463437,1911.67556388,-3103.8501806,1519.49548592,-521.731414544,1167.81027109,-111.874614529,222.102858369,158.204599541,-277.789765137,-88.3348701082,34.8932523367,-131.452357242,122.229344228,21.2337589932,22.4419594358,-2.3080045912,2.0094582979,-6.0374846828,13028492,5,0.9723771181,-8.28557734,-5.7581842271,0.4437084671,3.2972563185,-1.434101873,-1.4828790619,-3.2386974356,0.8448216301,1.5151229843,-0.3581575769,-1.5025772878,1.3080694743,0.4971256651,-0.0853277972,-0.1060300886,0.3358926773,-0.389568087,0.4437817975,0.3543972433,0.9910735575,-0.2075818291,-0.4510317062,-0.3169943424,0.1567813092,-0.0179417413,-0.187433104,-0.1320062148
3,-11836.3522683,1998.78332045,1935.76022079,-4459.48695127,-179.53272922,-1116.2536658,729.154548058,27.638219805,-325.378454007,-261.699914769,-356.318191572,-9.0564633204,96.5171406425,22.6206769064,149.673581421,34.8526675593,34.4537386693,-27.2015421376,26.0906199955,-11.928375171,294063,3,6.245190239,-6.9476200109,-3.5288721463,8.0718812188,5.4764478671,-1.675930871,7.2112409307,0.0094878108,0.7058190248,-2.3834511535,5.4028413434,-1.0699504234,0.0772071617,-0.6236095205,-0.5529005844,-0.6740194927,0.1001614677,-1.3006341751,0.0850310678,0.260817114,-0.3295043634,-0.1167452379,0.8838281189,0.4816966353,0.7757686305,-0.0481867226,0.3367237463,0.3720139176
4,-11819.2060219,3885.51249578,1655.85725163,883.191745792,4453.13895661,4042.43153829,4146.2068562,569.207985137,427.324003325,9.5380267737,-458.210109049,147.401224055,239.636406428,-105.922347756,114.605716592,-15.8476275918,14.0134041245,28.0313031287,48.5536717899,-9.98092193,2715515,4,-26.8445662792,29.0936120933,39.1011157816,-2.580064398,5.0337637777,2.680615291,-4.3157583994,16.3217790162,1.4555511808,-9.2715568984,4.412827533,-1.3725321946,-1.9670345566,-0.9356801565,-4.9038746173,2.5846420987,0.5033784823,-0.1655280937,-0.8028604447,0.8393099049,-0.345535617,-0.6427694322,0.0809222698,-1.6754758314,0.5315804384,0.2181513745,0.5689223006,-0.0237694981
5,-8944.89676859,-743.792305274,2120.15326599,-2016.90356853,377.316807106,-1638.50130459,1034.11456806,611.194681832,-149.322445944,-433.881161066,-297.369952892,481.373404837,-224.96673635,102.65166884,-29.062090833,-49.8710991831,-35.8645039691,-23.2750510032,-11.297260192,-32.2105988079,91328466,5,4.6287925115,36.4677700614,-27.5396690656,-10.9566311305,-7.6797440633,-3.5771342604,4.0924727632,-0.7466343539,-0.4787468541,-1.8311067959,3.6872494771,-3.0703596446,-1.0809763372,-0.3367330927,-2.1088669618,-1.1696966906,1.3820689798,-0.2044872228,-0.0262911456,1.0777369182,-2.1029427473,0.3961179452,0.9322179291,1.0420572841,-0.5633936854,4.3253877878,-2.0488546366,-0.7958660676
6,-13646.257627,-3259.84689783,1280.39168404,-2077.43350693,1122.42761447,-2061.31757029,1681.30845896,-181.592285099,-678.028785614,-6.3787250281,-163.739641446,12.369247752,150.432438101,-56.4457108356,62.2988133749,-26.1109672554,-0.2498527143,-19.0704283736,-8.9905989102,2.6394406228,477165,4,6.3692720341,-0.9681758867,10.0021549675,3.3388002753,0.2936809077,-7.7623555105,-3.9866170787,-1.4424776043,-0.3793587671,2.0065279446,-2.336658914,0.5437424068,0.7558905087,1.9219744835,1.5095136674,1.9422775434,-0.0048228593,0.0630227031,-0.768996211,-0.0795358257,0.406915883,0.1358405222,0.159596958,0.0566910622,0.2274569839,0.0051032854,0.4067551311,0.0447861448
7,4627.50255816,143.316478468,-821.781954477,-928.023278435,-788.221938409,-979.337446671,1607.69517589,-149.741369975,-7.863755124,314.770790255,-191.547095038,-73.2306420523,99.3157551202,-22.3235542692,-4.5732472429,50.4714964935,-38.3947802108,-49.9995867707,-15.3528160515,-11.3773218242,624746,4,-9.8215404573,1.4469084994,11.9333954056,0.3738795092,3.8164768972,-3.2987334191,-3.5550534429,-2.7508795774,1.2953215524,7.3387203419,-1.51077751,2.5505313943,-1.3657837678,1.3913669046,1.6124839449,1.551277452,2.3196965532,-0.0763144226,0.0381182174,-0.976395358,0.7109889862,0.2130039571,-1.7325848306,-0.2782470469,0.0617572379,-0.2652637013,0.2111672842,-0.2153094044
8,9561.9977435,2433.73392491,-5931.10316649,-3771.40551223,597.49283518,-1497.80059438,2237.44687925,-127.353161648,-528.6799274,29.8664779124,-333.043684817,-9.7550255341,24.0780513254,-8.0438878706,-2.6341021459,-8.5581682682,33.7114988419,-40.3292147921,-16.3239709971,-16.7116099906,441772,4,-26.7071703719,-0.3170475855,-4.7002338277,3.5293631455,8.0131340435,-7.1104116884,-0.5815272655,-1.7371525699,-2.5866976868,1.2914062901,-0.0083965698,1.6306655282,-1.028902741,0.1593767188,0.6090565012,1.5790757816,-0.6446967502,-0.1472264068,-0.0582104388,-0.0726030288,-0.0797037105,0.2498435743,0.2180237455,0.0500654287,0.093060109,0.4658289417,0.4556248641,-0.1189459442
9,-10358.3295967,-1374.17021911,1027.61884195,-915.146798383,134.614259934,-936.409609908,-598.811534968,272.869742195,-354.839834548,124.475040574,-1.5894454053,137.348009528,70.5008203623,-23.6830294344,-39.784515756,4.7067179158,-1.5986003838,17.6781617319,-38.54503703,0.4254035142,20599,2,1.695034454,5.0041801669,-0.1112430908,12.1630147649,-1.3045485726,-3.1529605243,-4.7417409887,0.086421101,1.3142338385,-3.3727206736,0.1455475624,-0.4900540719,-2.3071168973,0.1491921789,1.6016925707,1.4859704244,-0.1520632725,1.1505640225,-1.3492640324,-0.6805744305,0.7404054583,-0.082380032,0.1497849309,0.5673570943,0.7982672723,0.3423631118,0.1858563419,0.0363044669
